codigo;nome
32083017;ESCOLA SUPERIOR DOM HELDER CÂMARA (ESDHC)
33136017;FACULDADE AUTÔNOMA DE DIREITO (FADISP)
33018014;FACULDADE CÁSPER LÍBERO (FCL)
26017008;FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ (FADIC)
30012015;FACULDADE DE ARACRUZ (FAACZ)
35011009;Faculdade de Ciências das Saúde de Barretos Dr. Paulo Prata (FCSB)
33019010;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO (FCMSCSP-TI)
32034016;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS (FCMMG)
43002005;Faculdade de Direito da Fundação Escola Superior do Ministério Público (FMP)
31054013;FACULDADE DE DIREITO DE CAMPOS (FDC)
30010012;FACULDADE DE DIREITO DE VITORIA (FDV)
32079010;FACULDADE DE DIREITO DO SUL DE MINAS (FDSM)
32040016;FACULDADE DE DIREITO MILTON CAMPOS (FDMC)
31034012;FACULDADE DE ECONOMIA E FINANÇAS DO IBMEC (IBMEC)
25046004;Faculdade de Enfermagem Nova Esperança (FACENE)
33030014;FACULDADE DE ENGENHARIA QUÍMICA DE LORENA (FAENQUIL)
32064012;FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS (FEAD)
52045005;FACULDADE DE INHUMAS (FACMAIS)
33026017;FACULDADE DE MEDICINA DE JUNDIAÍ (FMJ)
33029016;FACULDADE DE MEDICINA DE MARÍLIA (FAMEMA)
33031010;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO (FAMERP)
33143013;FACULDADE DE SÃO BENTO (FSB)
28024010;FACULDADE DE TECNOLOGIA E CIÊNCIAS DE SALVADOR (FTC-SSA)
32108010;FACULDADE DINÂMICA DO VALE DO PIRANGA (FADIP)
33254010;FACULDADE ESCOLA PAULISTA DE DIREITO (FACEPD)
40009017;FACULDADE EVANGELICA DO PARANA (FEPAR)
33146012;FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS (FFIA)
33113017;Faculdade FIPECAFI (FIPECAFI)
40079015;FACULDADE GUAIRACÁ (FAG)
40041018;FACULDADE ILAPEO (ILAPEO)
25044010;FACULDADE INTEGRADA DE PERNAMBUCO (FACIPE)
21009015;FACULDADE INTEGRAL DIFERENCIAL (FACID)
33068011;FACULDADE ISRAELITA DE CIÊNCIAS DA SAÚDE ALBERT EINSTEIN (FICSAE)
32029012;FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA (FAJE)
28048016;FACULDADE MARIA MILZA (FAMAM)
42051010;FACULDADE MERIDIONAL (IMED)
23022000;FACULDADE PAULO PICANÇO (FACPP)
32065019;FACULDADE PEDRO LEOPOLDO (FPL)
25025015;FACULDADE PERNAMBUCANA DE SAÚDE (FPS)
32146019;FACULDADE PROMOVE DE TECNOLOGIA (FPT)
33062013;FACULDADE SANTA MARCELINA (FASM)
41024010;FACULDADE SATC (FASATC)
30014018;FACULDADE UNIDA DE VITÓRIA (FUV)
30015014;Faculdade Vale do Cricaré (FVC)
40070018;FACULDADES BATISTA DO PARANÁ (FABAPAR)
42057019;FACULDADES INTEGRADAS DE TAQUARA (FACCAT-RS)
31106005;Faculdades Integradas do Sudoeste Mineiro (FESP)
40037010;FACULDADES PEQUENO PRÍNCIPE (FPP)
40026019;FAE - CENTRO UNIVERSITÁRIO (FAE)
31064019;FGV ( ESCOLA DE DIREITO DO RIO DE JANEIRO ) (FGV - DIREITO RIO)
33208018;FIAM-FAAM - CENTRO UNIVERSITÁRIO ( FIAMFAAM)
25007017;FIOCRUZ ( CENTRO DE PESQUISA AGGEU MAGALHÃES ) (FIOCRUZ-NESC/CPqAM)
28025016;FIOCRUZ ( CENTRO DE PESQUISA GONÇALO MONIZ ) (FIOCRUZ-CPqGM)
