id;programa;codigo_programa;codigo_instituicao
328;CIÊNCIAS DA SAÚDE;32067011001P6;32067011
329;POLÍTICAS PÚBLICAS EM SAÚDE;53044002001P7;53044002
330;Saúde da Família;33303002001P9;53044002
331;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;11008008
332;ADMINISTRAÇÃO;30007011002P6;30007011
333;ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS;30007011003P2;30007011
334;CIÊNCIAS CONTÁBEIS;30007011001P0;30007011
335;CONTABILIDADE E ADMINISTRAÇÃO;21016003001P4;21016003
336;CIÊNCIAS CONTÁBEIS;33302006001P2;33302006
337;Trabalho, Saúde e Ambiente;33157014001P4;33157014
338;ONCOLOGIA;33073015001P5;33073015
339;MEDICINA - CARDIOLOGIA;32024010001P0;32024010
340;MEMÓRIA E ACERVOS;33301000001P0;33301000
341;AVALIAÇÃO;31066011001P7;31066011
342;CIÊNCIAS APLICADAS À DERMATOLOGIA;12008010071P7;13016008
343;Ciências para a Saúde;53022017001P6;53022017
344;GESTÃO CONTEMPORÂNEA DAS ORGANIZAÇÕES;31105009001P1;31105009
345;CIÊNCIAS ODONTOLÓGICAS;33035016001P0;33035016
346;BIOTECNOLOGIA E GESTÃO DA INOVAÇÃO;32145012001P7;32145012
347;AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS ;53013018002P7;53013018
348;GOVERNANÇA E DESENVOLVIMENTO;53013018001P0;53013018
349;BIOTECNOLOGIA;32148011001P6;32148011
350;ECONOMIA;53062000002P4;53062000
351;POLÍTICAS PÚBLICAS E GOVERNO;53062000001P8;53062000
352;ADMINISTRAÇÃO;31011012004P5;31011012
353;ADMINISTRAÇÃO;31011012011P1;31011012
354;Administração;31011012014P0;31011012
355;ADMINISTRAÇÃO DE NEGÓCIOS;31011012016P3;31011012
356;CIÊNCIAS CONTÁBEIS;31011012005P1;31011012
357;Direito da Regulação;31011012015P7;31011012
358;ECONOMIA;31011012002P2;31011012
359;ECONOMIA;31011012010P5;31011012
360;GESTÃO EMPRESARIAL;31011012007P4;31011012
361;GESTÃO EMPRESARIAL;31011012008P0;31011012
362;HISTÓRIA, POLÍTICA E BENS CULTURAIS;31011012009P7;31011012
363;HISTÓRIA, POLÍTICA E BENS CULTURAIS;31011012012P8;31011012
364;Modelagem Matemática;31011012013P4;31011012
365;ADMINISTRAÇÃO DE EMPRESAS;33014019001P0;33014019
366;ADMINISTRAÇÃO DE EMPRESAS;33014019004P0;33014019
367;ADMINISTRAÇÃO DE NEGÓCIOS;31011012016P3;33014019
368;ADMINISTRAÇÃO PÚBLICA E GOVERNO;33014019003P3;33014019
369;ECONOMIA;33014019005P6;33014019
370;ECONOMIA DE EMPRESAS;33014019002P7;33014019
371;GESTÃO INTERNACIONAL;33014019006P2;33014019
372;GESTÃO PARA A COMPETITIVIDADE;33014019007P9;33014019
373;Finanças;33088012001P9;33088012
374;ADMINISTRAÇÃO PÚBLICA;32049013001P5;32049013
375;Ciências Sociais para o Ensino Médio;25016016002P7;25016016
376;Educação, Culturas e Identidades;25003011038P0;25016016
377;GESTÃO DE POLÍTICAS PÚBLICAS;25016016001P0;25016016
378;SOCIOLOGIA EM REDE NACIONAL;25016016039P8;25016016
379;Biociências e Biotecnologia;31010016025P6;31010016
380;Biociências e Biotecnologia em Saúde;31010016030P0;31010016
381;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;31010016
382;Biodiversidade e Saúde;31010016028P5;31010016
383;BIOÉTICA, ÉTICA APLICADA E SAÚDE COLETIVA;31001017141P0;31010016
384;BIOLOGIA CELULAR E MOLECULAR;31010016004P9;31010016
385;BIOLOGIA COMPUTACIONAL E SISTEMAS;31010016021P0;31010016
386;BIOLOGIA PARASITÁRIA;31010016001P0;31010016
387;CIÊNCIA EM ANIMAIS DE LABORATÓRIO;31010016148P0;31010016
388;DIVULGAÇÃO DA CIÊNCIA, TECNOLOGIA E SAÚDE ;31010016150P5;31010016
389;EDUCAÇÃO PROFISSIONAL EM SAÚDE;31010016020P4;31010016
390;ENSINO EM BIOCIÊNCIAS  E SAÚDE;31010016009P0;31010016
391;ENSINO EM BIOCIÊNCIAS  E SAÚDE;31010016017P3;31010016
392;EPIDEMIOLOGIA EM SAÚDE PÚBLICA;31010016019P6;31010016
393;Epidemiologia em Saúde Pública;31010016024P0;31010016
394;Gestão, Pesquisa e Desenvolvimento na Indústria Farmacêutica;31010016023P3;31010016
395;HISTÓRIA DAS CIÊNCIAS;31010016006P1;31010016
396;Imunologia e Inflamaçao;31001017147P9;31010016
397;Informação e Comunicação em Saúde - PPGICS ;31010016022P7;31010016
398;MEDICINA TROPICAL;31010016003P2;31010016
399;NANOBIOSSISTEMAS;31001017177P5;31010016
